n_threads;time(s);mPow_size
1;0.254822;12
1;0.250311;12
1;0.246903;12
1;0.245119;12
1;0.244008;12
2;0.160896;12
2;0.172933;12
2;0.171595;12
2;0.173651;12
2;0.183173;12
4;0.0891297;12
4;0.0868645;12
4;0.0890534;12
4;0.0910332;12
4;0.0924967;12
8;0.0485844;12
8;0.0446635;12
8;0.0454325;12
8;0.0467228;12
8;0.047138;12
16;0.0251843;12
16;0.0235516;12
16;0.0241901;12
16;0.0246587;12
16;0.0248671;12
32;0.0132937;12
32;0.0130301;12
32;0.0133407;12
32;0.0134576;12
32;0.013352;12
64;0.00718617;12
64;0.00725658;12
64;0.00774006;12
64;0.00750639;12
64;0.0074714;12
96;0.0108457;12
96;0.00605966;12
96;0.00603179;12
96;0.00603898;12
96;0.00625074;12
1;0.178182;13
1;0.171736;13
1;0.171791;13
1;0.171602;13
1;0.171698;13
2;0.137484;13
2;0.134331;13
2;0.134116;13
2;0.132654;13
2;0.133941;13
4;0.08136;13
4;0.0801702;13
4;0.0799033;13
4;0.0798294;13
4;0.0799392;13
8;0.0495133;13
8;0.0453356;13
8;0.0454381;13
8;0.0456314;13
8;0.045644;13
16;0.0264509;13
16;0.0263917;13
16;0.0263807;13
16;0.0269509;13
16;0.0263223;13
32;0.0159473;13
32;0.0160079;13
32;0.0164511;13
32;0.0165091;13
32;0.0160587;13
64;0.00940212;13
64;0.00925992;13
64;0.00920939;13
64;0.00932224;13
64;0.00951427;13
96;0.00958267;13
96;0.00898164;13
96;0.00747037;13
96;0.00757319;13
96;0.00736056;13
1;0.283463;14
1;0.282029;14
1;0.275802;14
1;0.274473;14
1;0.272947;14
2;0.175575;14
2;0.195498;14
2;0.19402;14
2;0.197242;14
2;0.215621;14
4;0.0944848;14
4;0.101217;14
4;0.105426;14
4;0.104723;14
4;0.102784;14
8;0.050999;14
8;0.0566059;14
8;0.0564353;14
8;0.0577203;14
8;0.0583203;14
16;0.026515;14
16;0.0327315;14
16;0.0346377;14
16;0.0339046;14
16;0.0345153;14
32;0.0142833;14
32;0.0208801;14
32;0.0219478;14
32;0.0209967;14
32;0.0222385;14
64;0.00834453;14
64;0.012575;14
64;0.0143128;14
64;0.0131768;14
64;0.0146516;14
96;0.0120413;14
96;0.0111835;14
96;0.0114132;14
96;0.0112443;14
96;0.0113423;14

