n_procs;time(s);mPow_size
4;0;4
4;1.00001e-06;4
4;9.99775e-07;4
4;0;4
4;1.00001e-06;4
4;0;5
4;1.00001e-06;5
4;0;5
4;0;5
4;1.00001e-06;5
4;1.00001e-06;6
4;2.00002e-06;6
4;1.00001e-06;6
4;2.00002e-06;6
4;1.00001e-06;6
4;5.00004e-06;7
4;6.00005e-06;7
4;1.19999e-05;7
4;5.00004e-06;7
4;5.00004e-06;7
4;3.79998e-05;8
4;3.90001e-05;8
4;3.90001e-05;8
4;3.89998e-05;8
4;3.99998e-05;8
4;0.000402;9
4;0.000418;9
4;0.000502;9
4;0.000495;9
4;0.000505;9
4;0.003806;10
4;0.003709;10
4;0.003871;10
4;0.003712;10
4;0.003715;10
4;0.016294;11
4;0.01737;11
4;0.017891;11
4;0.016627;11
4;0.017107;11
4;0.08352;12
4;0.083524;12
4;0.083476;12
4;0.082435;12
4;0.083374;12
