n_procs;time(s);mPow_size
1;1.00732e-05;4
1;1.05128e-05;4
1;9.38773e-06;4
1;9.40263e-06;4
1;8.70228e-06;4
1;7.87526e-06;5
1;2.76417e-05;5
1;3.355e-05;5
1;2.76119e-05;5
1;2.7597e-05;5
1;2.69786e-05;6
1;9.99048e-05;6
1;0.000125535;6
1;9.95472e-05;6
1;9.93684e-05;6
1;0.000106402;7
1;0.000391476;7
1;0.000352189;7
1;0.000390492;7
1;0.000130586;7
1;0.00042937;8
1;0.000744119;8
1;0.000518039;8
1;0.00130564;8
1;0.000795782;8
1;0.002497;9
1;0.00279497;9
1;0.00251366;9
1;0.00240483;9
1;0.00245392;9
1;0.012471;10
1;0.0135285;10
1;0.0116432;10
1;0.0112669;10
1;0.0113534;10
1;0.0677312;11
1;0.0805053;11
1;0.069828;11
1;0.0769932;11
1;0.0753824;11
1;0.427303;12
1;0.461693;12
1;0.449789;12
1;0.454966;12
1;0.452157;12
2;1.68756e-05;4
2;5.24521e-06;4
2;4.29899e-06;4
2;5.99027e-06;4
2;4.50015e-06;4
2;1.52737e-05;5
2;7.75605e-06;5
2;6.75768e-06;5
2;7.45058e-06;5
2;7.0557e-06;5
2;3.40864e-05;6
2;1.90362e-05;6
2;1.84253e-05;6
2;1.78143e-05;6
2;1.87308e-05;6
2;0.000106715;7
2;6.4984e-05;7
2;6.46114e-05;7
2;6.37472e-05;7
2;6.73234e-05;7
2;0.000335068;8
2;0.000281759;8
2;0.000249133;8
2;0.000247881;8
2;0.000248261;8
2;0.0015044;9
2;0.00140297;9
2;0.00127447;9
2;0.0012483;9
2;0.00126712;9
2;0.00729511;10
2;0.00677345;10
2;0.00616091;10
2;0.00616349;10
2;0.00612606;10
2;0.0385798;11
2;0.042996;11
2;0.0423423;11
2;0.0424523;11
2;0.0464723;11
2;0.269326;12
2;0.263385;12
2;0.262821;12
2;0.262409;12
2;0.264335;12
4;2.12267e-05;4
4;6.67572e-06;4
4;1.37463e-05;4
4;5.57303e-06;4
4;5.23776e-06;4
4;4.38169e-05;5
4;9.09716e-06;5
4;8.31485e-06;5
4;7.7635e-06;5
4;1.04979e-05;5
4;4.06578e-05;6
4;2.70903e-05;6
4;2.00048e-05;6
4;2.0735e-05;6
4;2.06679e-05;6
4;0.000105329;7
4;5.36665e-05;7
4;5.39646e-05;7
4;5.3972e-05;7
4;5.30705e-05;7
4;0.000280239;8
4;0.000198796;8
4;0.000183687;8
4;0.000192896;8
4;0.000185005;8
4;0.0011264;9
4;0.000926293;9
4;0.000917815;9
4;0.000921898;9
4;0.000917785;9
4;0.00479025;10
4;0.00424935;10
4;0.00423537;10
4;0.0042238;10
4;0.00421153;10
4;0.0357817;11
4;0.0344994;11
4;0.0361558;11
4;0.0361871;11
4;0.0277679;11
4;0.252216;12
4;0.153645;12
4;0.248823;12
4;0.150535;12
4;0.23863;12
8;2.46465e-05;4
8;7.36117e-06;4
8;7.00355e-06;4
8;8.86619e-06;4
8;6.82473e-06;4
8;2.09063e-05;5
8;8.43406e-06;5
8;7.93487e-06;5
8;8.2776e-06;5
8;8.99285e-06;5
8;8.68514e-05;6
8;1.96248e-05;6
8;1.55866e-05;6
8;1.4402e-05;6
8;1.41412e-05;6
8;0.000117011;7
8;4.02331e-05;7
8;3.70592e-05;7
8;3.70443e-05;7
8;4.30197e-05;7
8;0.00024312;8
8;0.000138864;8
8;0.000141919;8
8;0.000137284;8
8;0.000136554;8
8;0.00084649;9
8;0.000598006;9
8;0.00055325;9
8;0.000552855;9
8;0.000542603;9
8;0.00328306;10
8;0.00255277;10
8;0.00233839;10
8;0.00262517;10
8;0.00232468;10
8;0.0166813;11
8;0.0150534;11
8;0.0178614;11
8;0.0121361;11
8;0.011981;11
8;0.124703;12
8;0.130051;12
8;0.148857;12
8;0.123722;12
8;0.157078;12
16;8.85874e-05;4
16;1.1839e-05;4
16;1.16825e-05;4
16;1.10418e-05;4
16;1.11237e-05;4
16;1.17645e-05;5
16;1.34632e-05;5
16;1.93119e-05;5
16;1.22935e-05;5
16;1.23978e-05;5
16;0.000115402;6
16;2.0422e-05;6
16;2.65092e-05;6
16;1.8619e-05;6
16;2.36109e-05;6
16;0.000108793;7
16;4.6663e-05;7
16;4.51133e-05;7
16;4.59254e-05;7
16;4.54113e-05;7
16;0.000279509;8
16;0.000135779;8
16;0.000134535;8
16;0.0001323;8
16;0.000146888;8
16;0.000840619;9
16;0.000601143;9
16;0.000534572;9
16;0.000545703;9
16;0.000544332;9
16;0.00340372;10
16;0.00237455;10
16;0.00218531;10
16;0.0021919;10
16;0.00219005;10
16;0.0144084;11
16;0.0107254;11
16;0.010001;11
16;0.00982188;11
16;0.010217;11
16;0.0812008;12
16;0.0662111;12
16;0.067047;12
16;0.0554021;12
16;0.0549093;12
32;0;4
32;0.000179633;5
32;1.55047e-05;5
32;1.49533e-05;5
32;1.71065e-05;5
32;1.48267e-05;5
32;3.69921e-05;6
32;2.92361e-05;6
32;1.8321e-05;6
32;1.83657e-05;6
32;1.90809e-05;6
32;0.000220418;7
32;5.64605e-05;7
32;5.64009e-05;7
32;4.54262e-05;7
32;5.01275e-05;7
32;0.000299528;8
32;0.000148982;8
32;0.000145398;8
32;0.000147276;8
32;0.000142716;8
32;0.000918426;9
32;0.000654295;9
32;0.000548951;9
32;0.000552326;9
32;0.000551656;9
32;0.00328869;10
32;0.00232252;10
32;0.00196623;10
32;0.0020037;10
32;0.00229848;10
32;0.0133246;11
32;0.0108546;11
32;0.0126431;11
