n_threads;time(s);mPow_size
1;3.00002e-06;4
1;2.99979e-06;4
1;3.00002e-06;4
1;2.00002e-06;4
1;3.00002e-06;4
2;1.69999e-05;4
2;1.99999e-05;4
2;2.00002e-05;4
2;1.79999e-05;4
2;1.99999e-05;4
4;3.69998e-05;4
4;3.80001e-05;4
4;3.99998e-05;4
4;2.6e-05;4
4;3.99998e-05;4
8;3.4e-05;4
8;3.79998e-05;4
8;4.00001e-05;4
8;5.8e-05;4
8;5.39999e-05;4
16;7.99999e-05;4
16;0.000125;4
16;7.69999e-05;4
16;8.29999e-05;4
16;0.000111;4
32;0.000158;4
32;0.00017;4
32;0.000129;4
32;0.000204;4
32;0.00019;4
64;0.000312;4
64;0.000334;4
64;0.000275;4
64;0.000273;4
64;0.000249;4
96;0.000407;4
96;0.000374;4
96;0.000364;4
96;0.000395;4
96;0.000427;4
1;6.00005e-06;5
1;7.00005e-06;5
1;6.99982e-06;5
1;6.00005e-06;5
1;7.00005e-06;5
2;1.70001e-05;5
2;2.30002e-05;5
2;2.09999e-05;5
2;2.29999e-05;5
2;1.99999e-05;5
4;2.29999e-05;5
4;2.30002e-05;5
4;2.5e-05;5
4;2.5e-05;5
4;2.20002e-05;5
8;3.3e-05;5
8;3.5e-05;5
8;5.40002e-05;5
8;5.09999e-05;5
8;3.2e-05;5
16;6.7e-05;5
16;6.90001e-05;5
16;6.4e-05;5
16;0.000125;5
16;0.000121;5
32;0.000126;5
32;0.000141;5
32;0.000138;5
32;0.000139;5
32;0.000178;5
64;0.00023;5
64;0.000316;5
64;0.000306;5
64;0.000316;5
64;0.000377;5
96;0.000321;5
96;0.000322;5
96;0.000443;5
96;0.000323;5
96;0.000302;5
1;2.30002e-05;6
1;2.29999e-05;6
1;2.30002e-05;6
1;2.29999e-05;6
1;2.30002e-05;6
2;3.1e-05;6
2;3.6e-05;6
2;3e-05;6
2;3.1e-05;6
2;3.2e-05;6
4;2.7e-05;6
4;2.9e-05;6
4;2.8e-05;6
4;2.7e-05;6
4;2.8e-05;6
8;3.4e-05;6
8;3.4e-05;6
8;3.3e-05;6
8;3.5e-05;6
8;3.4e-05;6
16;6e-05;6
16;4.99999e-05;6
16;5.00001e-05;6
16;5.19999e-05;6
16;5.29999e-05;6
32;9.3e-05;6
32;0.000101;6
32;0.000103;6
32;8.39999e-05;6
32;0.000112;6
64;0.000211;6
64;0.000159;6
64;0.000171;6
64;0.00017;6
64;0.000165;6
96;0.000338;6
96;0.000383;6
96;0.000266;6
96;0.000257;6
96;0.000363;6
1;8.39999e-05;7
1;8.39999e-05;7
1;8.30002e-05;7
1;8.29999e-05;7
1;8.30002e-05;7
2;6.89998e-05;7
2;6.90001e-05;7
2;7.00001e-05;7
2;6.99998e-05;7
2;6.89998e-05;7
4;4.89999e-05;7
4;4.89999e-05;7
4;4.79999e-05;7
