n_threads;time(s);mPow_size
1;0.418875;12
1;0.478014;12
1;0.480648;12
1;0.475142;12
1;0.464421;12
2;0.251433;12
2;0.262184;12
2;0.248024;12
2;0.269313;12
2;0.262558;12
4;0.153503;12
4;0.154052;12
4;0.150499;12
4;0.150705;12
4;0.156628;12
8;0.091601;12
8;0.0888906;12
8;0.0870254;12
8;0.0870542;12
8;0.0871463;12
16;0.0639386;12
16;0.0579518;12
16;0.0544109;12
16;0.0541768;12
16;0.0540523;12
32;0.0369142;12
32;0.041854;12
32;0.0374194;12
32;0.037228;12
32;0.0374263;12
64;0.0311749;12
64;0.0320042;12
64;0.026067;12
64;0.0260713;12
64;0.0260073;12
1;0.782019;13
1;0.799814;13
1;0.784717;13
1;0.765211;13
1;0.800737;13
2;0.493102;13
2;0.494406;13
2;0.504304;13
2;0.493709;13
2;0.491553;13
4;0.383247;13
4;0.354036;13
4;0.415094;13
4;0.368298;13
4;0.464502;13
8;0.304013;13
8;0.292816;13
8;0.308271;13
8;0.309884;13
8;0.29875;13
16;0.274512;13
16;0.265857;13
16;0.274857;13
16;0.279135;13
16;0.290001;13
32;0.28265;13
32;0.297945;13
32;0.349705;13
32;0.296047;13
32;0.294798;13
64;0.391317;13
64;0.398154;13
64;0.404688;13
64;0.391558;13
64;0.383699;13
1;0.808767;14
1;0.823699;14
1;0.806563;14
1;0.836472;14
1;0.795854;14
2;0.511772;14
2;0.529166;14
2;0.507569;14
2;0.524995;14
2;0.521797;14
4;0.409118;14
4;0.371421;14
4;0.39213;14
4;0.377415;14
4;0.413808;14
8;0.28009;14
8;0.323831;14
8;0.362687;14
8;0.334644;14
8;0.34342;14
16;0.253304;14
16;0.254402;14
16;0.320722;14
16;0.247896;14
16;0.26308;14
32;0.302156;14
32;0.307774;14
32;0.347699;14
32;0.28862;14
32;0.300195;14
64;0.492781;14
64;0.48773;14
64;0.486214;14
64;0.493724;14
64;0.488374;14
1;0.26192;15
1;0.24677;15
1;0.244972;15
1;0.244378;15
1;0.243513;15
2;0.163343;15
2;0.169038;15
2;0.168908;15
2;0.16965;15
2;0.169725;15
4;0.0866071;15
4;0.0852728;15
4;0.0911746;15
4;0.0920646;15
4;0.0923698;15
8;0.0478347;15
8;0.0438581;15
8;0.0469868;15
8;0.0467799;15
8;0.0467363;15
16;0.0251029;15
16;0.0496555;15
16;0.0260795;15
16;0.0247682;15
16;0.0249527;15
32;0.0132102;15
32;0.0128868;15
32;0.0133129;15
32;0.0135476;15
32;0.0134302;15
64;0.00743893;15
64;0.00766477;15
64;0.00794188;15
64;0.00807168;15
64;0.00820658;15
