n_procs;time(s);mPow_size
1;0.499135;12
1;0.553653;12
1;0.55354;12
1;0.545635;12
1;0.539047;12
2;0.285228;12
2;0.284295;12
2;0.279929;12
2;0.288504;12
2;0.285283;12
4;0.153503;12
4;0.154052;12
4;0.150499;12
4;0.150705;12
4;0.156628;12
8;0.094601;12
8;0.0888906;12
8;0.0870254;12
8;0.0870542;12
8;0.0871463;12
16;0.0639386;12
16;0.0579518;12
16;0.0544109;12
16;0.0541768;12
16;0.0540523;12
32;0.0484761;12
32;0.041854;12
32;0.0374194;12
32;0.037228;12
32;0.0374263;12
64;0.0351749;12
64;0.0330042;12
64;0.026067;12
64;0.0260713;12
64;0.0260073;12
32;0.0485541;12
32;0.0422855;12
32;0.0370161;12
32;0.0369142;12
32;0.0369753;12
32;0.049097;12
32;0.0416171;12
32;0.0371214;12
32;0.0368687;12
32;0.0367453;12
32;0.04805;12
32;0.0428559;12
32;0.0367999;12
32;0.0368424;12
32;0.0368174;12
