n_threads;time(s);mPow_size
1;3.0715e-06;4
1;1.1608e-05;4
1;1.14385e-05;4
1;1.13081e-05;4
1;1.14869e-05;4
2;1.08872e-05;4
2;1.35135e-05;4
2;1.15149e-05;4
2;1.11535e-05;4
2;1.09021e-05;4
4;1.21314e-05;4
4;1.19545e-05;4
4;1.26772e-05;4
4;1.19191e-05;4
4;1.36085e-05;4
8;1.22208e-05;4
8;1.35675e-05;4
8;1.24499e-05;4
8;1.26511e-05;4
8;1.24481e-05;4
16;1.56164e-05;4
16;1.39624e-05;4
16;1.5242e-05;4
16;1.56146e-05;4
16;1.53892e-05;4
32;1.6002e-05;4
32;1.50446e-05;4
32;1.39624e-05;4
32;1.07829e-05;4
32;1.59368e-05;4
64;2.92901e-05;4
64;2.08728e-05;4
64;2.41157e-05;4
64;2.78819e-05;4
64;2.85953e-05;4
96;0.000272337;4
96;0.000249578;4
96;0.0002575;4
96;0.000207553;4
96;0.000479277;4
1;3.30023e-05;5
1;3.36524e-05;5
1;3.34028e-05;5
1;3.29893e-05;5
1;3.32519e-05;5
2;3.33749e-05;5
2;4.50239e-05;5
2;3.56324e-05;5
2;3.44552e-05;5
2;3.79439e-05;5
4;5.3091e-05;5
4;3.94061e-05;5
4;3.67574e-05;5
4;4.4981e-05;5
4;3.77297e-05;5
8;4.52586e-05;5
8;3.23802e-05;5
8;3.39728e-05;5
8;3.68524e-05;5
8;3.11993e-05;5
16;2.54177e-05;5
16;2.88226e-05;5
16;2.94037e-05;5
16;2.78465e-05;5
16;2.57939e-05;5
32;2.80738e-05;5
32;2.67532e-05;5
32;2.62465e-05;5
32;2.77814e-05;5
32;2.6904e-05;5
64;2.64402e-05;5
64;2.73436e-05;5
64;2.49874e-05;5
64;3.69065e-05;5
64;2.38214e-05;5
96;0.000208439;5
96;0.000268597;5
96;0.000281313;5
96;0.000208613;5
96;0.000270529;5
1;3.40529e-05;6
1;3.42466e-05;6
1;0.000129169;6
1;3.40454e-05;6
1;0.000119036;6
2;0.000144213;6
2;5.92154e-05;6
2;0.000100834;6
2;6.34398e-05;6
2;0.000101933;6
4;9.50135e-05;6
4;0.000109278;6
4;0.000103341;6
4;9.90834e-05;6
4;9.25399e-05;6
8;0.000103341;6
8;0.000105884;6
8;0.000112522;6
8;0.000101555;6
8;9.76678e-05;6
16;7.72923e-05;6
16;7.90674e-05;6
16;8.21725e-05;6
16;7.73519e-05;6
16;6.72732e-05;6
32;5.81294e-05;6
32;7.06986e-05;6
32;5.98263e-05;6
32;5.84945e-05;6
32;6.46655e-05;6
64;5.03976e-05;6
64;5.30183e-05;6
64;6.20037e-05;6
64;5.76451e-05;6
64;5.47785e-05;6
96;0.000362925;6
96;0.000249151;6
96;0.000271263;6
96;0.000491576;6
96;0.000266187;6
1;0.000131097;7
1;0.00045873;7
1;0.000470266;7
1;0.000458926;7
1;0.00046693;7
2;0.000155898;7
2;0.000184847;7
2;0.000156192;7
2;0.000167508;7
2;0.000164211;7
4;0.000259705;7
4;0.000215296;7
4;0.000176188;7
4;0.000205293;7
4;0.000164937;7
8;0.000159273;7
8;0.00016073;7
8;0.000185071;7
8;0.000156701;7
8;0.000155499;7
16;0.000100598;7
16;9.93703e-05;7
16;0.000119757;7
16;0.00010361;7
16;9.86774e-05;7
32;7.97156e-05;7
32;8.36868e-05;7
32;8.95839e-05;7
32;8.13305e-05;7
32;0.000104077;7
64;9.00514e-05;7
64;8.85129e-05;7
64;8.95988e-05;7
64;9.69134e-05;7
64;9.24096e-05;7
96;0.000382651;7
96;0.000538137;7
96;0.00056204;7
96;0.000285484;7
96;0.000269065;7
1;0.000531575;8
1;0.000879029;8
1;0.00121663;8
1;0.00081717;8
1;0.000819514;8
2;0.000621617;8
2;0.00106508;8
2;0.000991262;8
2;0.00075308;8
2;0.000975657;8
4;0.000411289;8
4;0.000388335;8
4;0.000574358;8
4;0.000534879;8
4;0.000551317;8
8;0.00021508;8
8;0.000217983;8
8;0.000206938;8
8;0.00021307;8
8;0.000209728;8
16;0.000189899;8
16;0.000173539;8
16;0.000186605;8
16;0.000168707;8
16;0.000172673;8
32;0.000138696;8
32;0.000136787;8
32;0.00013531;8
32;0.000134792;8
32;0.000135815;8
64;0.000104958;8
64;9.8886e-05;8
64;9.48738e-05;8
64;9.61591e-05;8
64;9.33874e-05;8
96;0.00032888;8
96;0.000653002;8
96;0.000613248;8
96;0.000697551;8
96;0.000611309;8
1;0.00267106;9
1;0.0029447;9
1;0.00332499;9
1;0.00339437;9
1;0.00304345;9
2;0.00228978;9
2;0.00287389;9
2;0.00294155;9
2;0.00285239;9
2;0.00274396;9
4;0.00143627;9
4;0.00138453;9
4;0.00142341;9
4;0.00141493;9
4;0.0014308;9
8;0.000768518;9
8;0.000788083;9
8;0.000955816;9
8;0.000755411;9
8;0.000753868;9
16;0.00040541;9
16;0.00040397;9
16;0.000392126;9
16;0.000376677;9
16;0.000385908;9
32;0.000351261;9
32;0.000374239;9
32;0.00036956;9
32;0.000352003;9
32;0.000330757;9
64;0.000308251;9
64;0.00030656;9
64;0.000305591;9
64;0.000303265;9
64;0.000308225;9
96;0.000894085;9
96;0.000810109;9
96;0.000784574;9
96;0.000807948;9
96;0.000790019;9
1;0.00939493;10
1;0.0096628;10
1;0.0100867;10
1;0.0097563;10
1;0.010128;10
2;0.00911081;10
2;0.00989305;10
2;0.0110294;10
2;0.0110723;10
2;0.0110352;10
4;0.00581314;10
4;0.00535172;10
4;0.00567377;10
4;0.00564562;10
4;0.00568757;10
8;0.00305733;10
8;0.00299167;10
8;0.00300356;10
8;0.00296993;10
8;0.00301293;10
16;0.00163327;10
16;0.0016083;10
16;0.00160303;10
16;0.00161646;10
16;0.00160881;10
32;0.00090865;10
32;0.00089257;10
32;0.000891015;10
32;0.000894099;10
32;0.000887496;10
64;0.000836147;10
64;0.00079501;10
64;0.000834519;10
64;0.0008117;10
64;0.000814971;10
96;0.00144233;10
96;0.00165791;10
96;0.00163173;10
96;0.00140581;10
96;0.00150194;10
