n_threads;time(s);mPow_size
1;1.13733e-05;4
1;1.15726e-05;4
1;1.13081e-05;4
1;1.1351e-05;4
1;1.12727e-05;4
2;1.12373e-05;4
2;1.40667e-05;4
2;1.17198e-05;4
2;1.12858e-05;4
2;1.13249e-05;4
4;1.39121e-05;4
4;1.72574e-05;4
4;1.1513e-05;4
4;1.04532e-05;4
4;1.37407e-05;4
8;1.33533e-05;4
8;1.16304e-05;4
8;1.36066e-05;4
8;1.21184e-05;4
8;1.24946e-05;4
16;1.47969e-05;4
16;1.367e-05;4
16;1.49719e-05;4
16;1.48881e-05;4
16;1.53966e-05;4
32;1.39829e-05;4
32;1.48099e-05;4
32;1.44001e-05;4
32;1.37854e-05;4
32;1.55047e-05;4
64;2.67979e-05;4
64;2.24989e-05;4
64;2.65799e-05;4
64;2.53972e-05;4
64;2.66396e-05;4
96;0.000233786;4
96;0.0002665;4
96;0.000250207;4
96;0.000266301;4
96;0.000198081;4
1;3.29074e-05;5
1;3.35798e-05;5
1;3.0607e-05;5
1;3.32128e-05;5
1;3.2926e-05;5
2;4.26266e-05;5
2;4.01996e-05;5
2;3.84264e-05;5
2;3.49917e-05;5
2;2.81148e-05;5
4;4.19971e-05;5
4;4.05647e-05;5
4;4.32823e-05;5
4;4.63761e-05;5
4;4.9172e-05;5
8;4.27458e-05;5
8;3.41795e-05;5
8;3.65153e-05;5
8;3.10726e-05;5
8;3.53418e-05;5
16;2.75355e-05;5
16;2.72691e-05;5
16;2.84184e-05;5
16;2.97409e-05;5
16;2.64719e-05;5
32;3.07541e-05;5
32;2.61702e-05;5
32;2.65911e-05;5
32;2.85786e-05;5
32;3.01506e-05;5
64;2.64104e-05;5
64;2.36891e-05;5
64;2.52109e-05;5
64;2.69432e-05;5
64;2.85767e-05;5
96;0.000235189;5
96;0.000260564;5
96;0.000469716;5
96;0.000284502;5
96;0.000277176;5
1;3.38424e-05;6
1;0.000129899;6
1;0.000128174;6
1;0.000118673;6
1;0.000118304;6
2;0.000108583;6
2;0.000110915;6
2;6.14468e-05;6
2;6.21323e-05;6
2;7.00802e-05;6
4;8.49031e-05;6
4;8.51657e-05;6
4;7.70837e-05;6
4;7.217e-05;6
4;7.5778e-05;6
8;8.44523e-05;6
8;7.71601e-05;6
8;7.31908e-05;6
8;9.76659e-05;6
8;6.98585e-05;6
16;6.96126e-05;6
16;7.22818e-05;6
16;7.79778e-05;6
16;6.27283e-05;6
16;7.98926e-05;6
32;4.87212e-05;6
32;4.89149e-05;6
32;6.15325e-05;6
32;5.46947e-05;6
32;4.49996e-05;6
64;4.95072e-05;6
64;5.42551e-05;6
64;5.94724e-05;6
64;5.99883e-05;6
64;5.76302e-05;6
96;0.000242196;6
96;0.000467626;6
96;0.00027794;6
96;0.000260852;6
96;0.000277627;6
1;0.000134597;7
1;0.000467476;7
1;0.000226432;7
1;0.000415768;7
1;0.000457248;7
2;0.000153488;7
2;0.000197332;7
2;0.000137247;7
2;0.000152783;7
2;0.000330923;7
4;0.000222679;7
4;0.000187851;7
4;0.000193642;7
4;0.000187771;7
4;0.000195406;7
8;0.000188367;7
8;0.000162221;7
8;0.000156408;7
8;0.000163194;7
8;0.000161733;7
16;0.000108695;7
16;0.000106813;7
16;0.000107594;7
16;9.96813e-05;7
16;0.000102974;7
32;9.17315e-05;7
32;7.59363e-05;7
32;9.81651e-05;7
32;9.28212e-05;7
32;8.20495e-05;7
64;8.57729e-05;7
64;0.000100542;7
64;8.89525e-05;7
64;8.83192e-05;7
64;9.93498e-05;7
96;0.000446271;7
96;0.000493661;7
96;0.000289498;7
96;0.000297174;7
96;0.000492655;7
1;0.000505051;8
1;0.000661118;8
1;0.000882151;8
1;0.00125641;8
1;0.000868997;8
2;0.000645148;8
2;0.000714829;8
2;0.000692099;8
2;0.000692656;8
2;0.000693703;8
4;0.000456786;8
4;0.000355924;8
4;0.000347899;8
4;0.000352226;8
4;0.000364227;8
8;0.000183444;8
8;0.000173815;8
8;0.000181591;8
8;0.000186972;8
8;0.000182679;8
16;0.000172528;8
16;0.000173284;8
16;0.00016984;8
16;0.000176391;8
16;0.000170041;8
32;0.000138287;8
32;0.000143101;8
32;0.000138214;8
32;0.000134926;8
32;0.000143642;8
64;9.90015e-05;8
64;0.000107806;8
64;9.70159e-05;8
64;0.000101222;8
64;0.000121014;8
96;0.000423633;8
96;0.000576062;8
96;0.000621701;8
96;0.000646709;8
96;0.000665484;8
1;0.00227165;9
1;0.00262748;9
1;0.00277514;9
1;0.00253515;9
1;0.00257847;9
2;0.00234703;9
2;0.00295164;9
2;0.0029854;9
2;0.00296542;9
2;0.00275994;9
4;0.00148767;9
4;0.00139788;9
4;0.0014075;9
4;0.00145706;9
4;0.00142728;9
8;0.000766056;9
8;0.000739211;9
8;0.000758782;9
8;0.000733836;9
8;0.000740359;9
16;0.000423351;9
16;0.000409095;9
16;0.000431089;9
16;0.000414263;9
16;0.000405826;9
32;0.000376904;9
32;0.000361597;9
32;0.000370767;9
32;0.000358667;9
32;0.000369361;9
64;0.000375669;9
64;0.000318041;9
64;0.000315843;9
64;0.000347489;9
64;0.000315497;9
96;0.000699062;9
96;0.000784103;9
96;0.000750223;9
96;0.000763506;9
96;0.000766536;9
1;0.00941917;10
1;0.00976331;10
1;0.0100345;10
1;0.00948802;10
1;0.00975167;10
2;0.00917251;10
2;0.00997609;10
2;0.0110286;10
2;0.0110706;10
2;0.0111403;10
4;0.00577005;10
4;0.00540179;10
4;0.00569893;10
4;0.0056855;10
4;0.00569498;10
8;0.0030469;10
8;0.00295865;10
8;0.00296219;10
8;0.00298411;10
8;0.00296127;10
16;0.00165197;10
16;0.00162883;10
16;0.00164636;10
16;0.00163501;10
16;0.00162267;10
32;0.000908434;10
32;0.000898808;10
32;0.000914268;10
32;0.000900261;10
32;0.000891175;10
64;0.000873618;10
64;0.00082987;10
64;0.000829387;10
64;0.00087457;10
64;0.000873627;10
96;0.00164544;10
96;0.00171103;10
96;0.00159389;10
96;0.00173346;10
96;0.00159624;10
1;0.0550532;11
1;0.0520009;11
1;0.0511926;11
1;0.0505363;11
1;0.0495402;11
2;0.0274769;11
2;0.025992;11
2;0.0251963;11
2;0.0248565;11
2;0.024636;11
4;0.0189373;11
4;0.0223731;11
4;0.0247405;11
4;0.024752;11
4;0.0246209;11
8;0.012901;11
8;0.0123512;11
8;0.0126965;11
8;0.0126394;11
8;0.0126609;11
16;0.00678579;11
16;0.0065476;11
16;0.00656315;11
16;0.00658461;11
16;0.00659617;11
32;0.00366914;11
32;0.00351898;11
32;0.00353847;11
32;0.00351847;11
32;0.0035373;11
64;0.00208534;11
64;0.00204544;11
64;0.00204317;11
64;0.00205869;11
64;0.00204056;11
96;0.00340175;11
96;0.00328887;11
96;0.00340769;11
96;0.00339807;11
96;0.0034378;11
1;0.265748;12
1;0.250605;12
1;0.247831;12
1;0.245886;12
1;0.244699;12
2;0.128561;12
2;0.144733;12
2;0.179093;12
2;0.181975;12
2;0.181648;12
4;0.0984436;12
4;0.0902761;12
4;0.0967961;12
4;0.0967736;12
4;0.0966952;12
8;0.0500215;12
8;0.0452606;12
8;0.0481633;12
8;0.0481595;12
8;0.0481005;12
16;0.0604193;12
16;0.0299822;12
16;0.0286814;12
16;0.028463;12
16;0.0287102;12
32;0.0145594;12
32;0.0147356;12
32;0.014841;12
32;0.0150904;12
32;0.0147286;12
64;0.00780109;12
64;0.00833945;12
64;0.0083096;12
64;0.00844972;12
64;0.00830433;12
96;0.0117738;12
96;0.0113084;12
96;0.0111947;12
96;0.0113681;12
96;0.0115757;12
