n_procs;time(s);mPow_size
1;0.000106268;4
1;3.08529e-05;4
1;4.45023e-05;4
1;5.22509e-05;4
1;4.14178e-05;4
1;3.656e-05;5
1;0.00010059;5
1;0.000104941;5
1;9.94503e-05;5
1;0.0001003;5
1;0.000130028;6
1;9.26703e-05;6
1;0.000118151;6
1;0.000322953;6
1;0.000236206;6
1;0.000402771;7
1;0.000767902;7
1;0.00105283;7
1;0.00054495;7
1;0.00117416;7
1;0.00158859;8
1;0.00158112;8
1;0.00211173;8
1;0.00160349;8
1;0.00202221;8
1;0.00662316;9
1;0.00660712;9
1;0.00616004;9
1;0.0056933;9
1;0.00581804;9
1;0.028011;10
1;0.0274176;10
1;0.0270932;10
1;0.0247612;10
1;0.0240358;10
1;0.127811;11
1;0.121506;11
1;0.12646;11
1;0.137889;11
1;0.125243;11
1;0.564994;12
1;0.577416;12
1;0.573675;12
1;0.590412;12
1;0.575358;12
2;0.000327677;4
2;0.000113897;4
2;0.0002186;4
2;0.00021603;4
2;0.00020922;4
2;0.000176892;5
2;0.00024768;5
2;0.000246778;5
2;0.0002257;5
2;0.000237092;5
2;0.00024578;6
2;0.000419855;6
2;0.000296384;6
2;0.000402577;6
2;0.000209369;6
2;0.000500724;7
2;0.000915706;7
2;0.000821143;7
2;0.000468865;7
2;0.000749268;7
2;0.00166389;8
2;0.00146226;8
2;0.00142235;8
2;0.00139054;8
2;0.00138801;8
2;0.00687378;9
2;0.00617117;9
2;0.00539891;9
2;0.00512534;9
2;0.00633364;9
2;0.0324345;10
2;0.0276379;10
2;0.0240882;10
2;0.022739;10
2;0.0222788;10
2;0.0824096;11
2;0.0772913;11
2;0.0761724;11
2;0.0736649;11
2;0.0759007;11
2;0.36132;12
2;0.369549;12
2;0.350447;12
2;0.348054;12
2;0.350395;12
4;0.000282802;4
4;0.000136986;4
4;0.000126541;4
4;0.000120662;4
4;0.000128344;4
4;0.000151917;5
4;0.000149146;5
4;0.000131689;5
4;0.000134654;5
4;0.000134669;5
4;0.000280216;6
4;0.000250846;6
4;0.000237912;6
4;0.000239514;6
4;0.000227794;6
4;0.000552781;7
4;0.000445083;7
4;0.000438452;7
4;0.00042855;7
4;0.000434153;7
4;0.00149104;8
4;0.00111331;8
4;0.00106467;8
4;0.000960879;8
4;0.00102409;8
4;0.00540483;9
4;0.00376465;9
4;0.00429532;9
4;0.00336792;9
4;0.00329569;9
4;0.0332025;10
4;0.0293369;10
4;0.0263897;10
4;0.0241122;10
4;0.0267622;10
4;0.0685315;11
4;0.0649388;11
4;0.062132;11
4;0.0605036;11
4;0.0667165;11
4;0.246099;12
4;0.248857;12
4;0.236443;12
4;0.245342;12
4;0.236676;12
8;0.000457674;4
8;0.000233218;4
8;0.000207424;4
8;0.000201508;4
8;0.000199795;4
8;0.000237189;5
8;0.000231765;5
8;0.000230975;5
8;0.000210308;5
8;0.000215463;5
8;0.000342868;6
8;0.000316553;6
8;0.000291459;6
8;0.000297368;6
8;0.000291824;6
8;0.000665434;7
8;0.000556089;7
8;0.000504442;7
8;0.000502892;7
8;0.000521056;7
8;0.00143923;8
8;0.00112583;8
8;0.0011237;8
8;0.00107995;8
8;0.00108192;8
8;0.00468796;9
8;0.00401182;9
8;0.00398066;9
8;0.00333382;9
8;0.00362767;9
8;0.0200832;10
8;0.0191195;10
8;0.0178734;10
8;0.0150251;10
8;0.015065;10
8;0.0779315;11
8;0.0721488;11
8;0.06173;11
8;0.0489297;11
8;0.050675;11
8;0.248385;12
