n_threads;time(s);mPow_size
1;1.00024e-06;4
1;2.00002e-06;4
1;2.00002e-06;4
1;2.00002e-06;4
1;1.00024e-06;4
2;2.70004e-05;4
2;3.59998e-05;4
2;0.000117;4
2;3.60003e-05;4
2;3.20002e-05;4
4;5.19999e-05;4
4;5.50002e-05;4
4;5.70002e-05;4
4;4.00003e-05;4
4;4.79999e-05;4
8;9.40003e-05;4
8;8.79997e-05;4
8;7.79997e-05;4
8;7.20001e-05;4
8;0.000104;4
16;0.000155;4
16;0.000172;4
16;0.00015;4
16;0.000173;4
16;0.000154;4
32;0.000296;4
32;0.000283;4
32;0.00102;4
32;0.000247;4
32;0.000326;4
64;0.000446;4
64;0.000532;4
64;0.000782;4
64;0.000667;4
64;0.000639;4
96;0.000861;4
96;0.000673;4
96;0.000543;4
96;0.00058;4
96;0.000905;4
1;1.00024e-06;4
1;2.00002e-06;4
1;2.00002e-06;4
1;2.00002e-06;4
1;1.99955e-06;4
2;0.000357;4
2;2.9e-05;4
2;2.00002e-05;4
2;2.99998e-05;4
2;2.09999e-05;4
4;6.29998e-05;4
4;4.19999e-05;4
4;6.30002e-05;4
4;5.6e-05;4
4;5.70002e-05;4
8;7.00001e-05;4
8;8.99998e-05;4
8;0.000102;4
8;6.2e-05;4
8;9.59998e-05;4
16;0.000172;4
16;0.000158;4
16;0.00017;4
16;0.000134;4
16;0.000158;4
32;0.000316;4
32;0.000335;4
32;0.000298;4
32;0.000264;4
32;0.00037;4
64;0.000533;4
64;0.000478;4
64;0.00031;4
64;0.00054;4
64;0.000533;4
96;0.000837;4
96;0.000984;4
96;0.00093;4
96;0.000639;4
96;0.00068;4
1;2.00002e-06;4
1;2.00002e-06;4
1;2.00002e-06;4
1;9.99775e-07;4
1;2.00002e-06;4
2;3.1e-05;4
2;6e-05;4
2;5.70002e-05;4
2;5.70002e-05;4
2;5.6e-05;4
4;4.70001e-05;4
4;6.99996e-05;4
4;5.69997e-05;4
4;4.70001e-05;4
4;6.70003e-05;4
8;8.60002e-05;4
8;9.39998e-05;4
8;7.20001e-05;4
8;0.000104;4
8;9.80003e-05;4
16;0.000157;4
16;0.000199;4
16;0.000161;4
16;0.000155;4
16;0.000196;4
32;0.000312;4
32;0.000308;4
32;0.000325;4
32;0.000319;4
32;0.000316;4
64;0.000623;4
64;0.000577;4
64;0.000579;4
64;0.0006;4
64;0.000562;4
96;0.000847;4
96;0.000847;4
96;0.0008;4
96;0.000916;4
96;0.000944;4
1;2.00002e-06;4
1;2.99979e-06;4
1;2.00002e-06;4
1;2.00002e-06;4
1;2.99979e-06;4
2;4.89997e-05;4
2;3.39998e-05;4
2;3.60003e-05;4
2;3.7e-05;4
2;5.19999e-05;4
4;4.20003e-05;4
4;6.70003e-05;4
4;5.50002e-05;4
4;5.30002e-05;4
4;5.29997e-05;4
8;8.49999e-05;4
8;8.59997e-05;4
8;9.5e-05;4
8;0.000105;4
8;7.49999e-05;4
16;0.000153;4
16;0.000168;4
16;0.000161;4
16;0.000177;4
16;0.000154;4
32;0.000344;4
32;0.000321;4
32;0.000301;4
32;0.000243;4
32;0.000365;4
64;0.0006;4
64;0.000601;4
64;0.000639;4
64;0.000611;4
64;0.000621;4
96;0.000939;4
96;0.000926;4
96;0.000974;4
96;0.00094;4
96;0.000939;4
1;9.99775e-07;4
1;2.00002e-06;4
1;2.00002e-06;4
1;2.00002e-06;4
1;2.00002e-06;4
2;4.39999e-05;4
2;3.3e-05;4
2;3.40003e-05;4
2;9.99961e-06;4
2;2.79997e-05;4
4;4.19999e-05;4
4;0.008081;4
4;6e-05;4
4;4.99999e-05;4
4;4.40003e-05;4
8;8.60002e-05;4
8;5.19999e-05;4
8;9.7e-05;4
8;6.50003e-05;4
8;4.90001e-05;4
16;8.7e-05;4
16;0.000111;4
16;0.00012;4
16;0.000107;4
16;0.00017;4
32;0.000308;4
32;0.000274;4
32;0.000308;4
32;0.000331;4
32;0.00027;4
64;0.000451;4
64;0.000458;4
64;0.000559;4
64;0.000645;4
64;0.000437;4
96;0.000796;4
96;0.000854;4
96;0.000859;4
96;0.000922;4
96;0.0009;4
1;1.00024e-06;4
1;2.00002e-06;4
1;1.00024e-06;4
1;9.99775e-07;4
1;2.00002e-06;4
2;1.20001e-05;4
2;1.49999e-05;4
2;1.20001e-05;4
2;1.20001e-05;4
2;1.10003e-05;4
4;2.60002e-05;4
4;2.80002e-05;4
4;2.00002e-05;4
4;5.19999e-05;4
4;2.7e-05;4
8;3.1e-05;4
8;3.5e-05;4
8;3.80003e-05;4
8;3.60003e-05;4
8;3.60003e-05;4
16;8.60002e-05;4
16;9.19998e-05;4
16;8.7e-05;4
16;7.20001e-05;4
16;9.39998e-05;4
32;0.000158;4
32;0.000188;4
32;0.000205;4
32;0.000189;4
32;0.000156;4
64;0.000409;4
64;0.000399;4
64;0.000346;4
64;0.000282;4
64;0.000316;4
96;0.000429;4
96;0.000415;4
96;0.000431;4
96;0.000522;4
96;0.000426;4
1;0.121304;12
1;0.126705;12
1;0.126442;12
1;0.126401;12
1;0.126446;12
2;0.066097;12
2;0.067578;12
2;0.072294;12
2;0.070898;12
2;0.071907;12
4;0.05143;12
4;0.050131;12
4;0.052339;12
4;0.061128;12
4;0.058179;12
8;0.042469;12
8;0.044471;12
8;0.046022;12
8;0.058144;12
8;0.057756;12
16;0.038823;12
16;0.039817;12
16;0.03974;12
16;0.057779;12
16;0.056931;12
32;0.03928;12
32;0.040045;12
32;0.038696;12
32;0.055012;12
32;0.055455;12
64;0.039972;12
64;0.04185;12
64;0.040727;12
64;0.055564;12
64;0.05572;12
96;0.043936;12
96;0.039761;12
96;0.039873;12
96;0.05619;12
96;0.055637;12
1;0.122059;12
1;0.125293;12
1;0.125489;12
1;0.12522;12
1;0.126484;12
2;0.068649;12
2;0.068193;12
2;0.073204;12
2;0.072383;12
2;0.072019;12
4;0.049465;12
4;0.048093;12
4;0.055725;12
4;0.052133;12
4;0.059476;12
8;0.044478;12
8;0.039443;12
8;0.043112;12
8;0.056467;12
8;0.058222;12
16;0.042114;12
16;0.041605;12
16;0.042166;12
16;0.057646;12
16;0.056919;12
32;0.039929;12
32;0.040033;12
32;0.039825;12
32;0.055111;12
32;0.05245;12
64;0.039172;12
64;0.038782;12
64;0.038901;12
64;0.054946;12
64;0.05245;12
96;0.039774;12
96;0.042596;12
96;0.039811;12
96;0.054792;12
96;0.055783;12
1;0.120573;12
1;0.124366;12
1;0.125;12
1;0.124641;12
1;0.124452;12
2;0.066712;12
2;0.066469;12
2;0.071496;12
2;0.069378;12
2;0.069155;12
4;0.050512;12
4;0.045687;12
4;0.048075;12
4;0.055864;12
4;0.054451;12
8;0.038093;12
8;0.037311;12
8;0.044945;12
8;0.058194;12
8;0.052474;12
16;0.040312;12
16;0.038402;12
16;0.039797;12
16;0.05257;12
16;0.053708;12
32;0.038833;12
32;0.039465;12
32;0.039339;12
32;0.051152;12
32;0.050557;12
64;0.03702;12
64;0.038076;12
64;0.036574;12
64;0.050441;12
64;0.050647;12
96;0.038178;12
96;0.037137;12
96;0.036202;12
96;0.047463;12
96;0.050836;12
1;0.123191;12
1;0.122652;12
1;0.127544;12
1;0.126707;12
1;0.128051;12
2;0.067206;12
2;0.071252;12
2;0.069236;12
2;0.070784;12
2;0.070774;12
4;0.04821;12
4;0.052247;12
4;0.049358;12
4;0.059496;12
4;0.05143;12
8;0.046195;12
8;0.041336;12
8;0.039938;12
8;0.045133;12
8;0.052948;12
16;0.042205;12
16;0.040809;12
16;0.041378;12
16;0.053058;12
16;0.05287;12
32;0.038175;12
32;0.03814;12
32;0.037905;12
32;0.054465;12
32;0.051884;12
64;0.038708;12
64;0.038965;12
64;0.039006;12
64;0.046645;12
64;0.052263;12
96;0.037738;12
96;0.038155;12
96;0.037817;12
96;0.051625;12
96;0.053092;12
1;0.182356;12
1;0.271704;12
1;0.129108;12
1;0.176352;12
1;0.124141;12
2;0.066755;12
2;0.066906;12
2;0.121894;12
2;0.066248;12
2;0.065502;12
4;0.06129;12
4;0.055873;12
4;0.046083;12
4;0.046848;12
4;0.05613;12
8;0.043841;12
8;0.040776;12
8;0.046046;12
8;0.050806;12
8;0.050919;12
16;0.036458;12
16;0.036105;12
16;0.038659;12
16;0.052723;12
16;0.054021;12
32;0.037106;12
32;0.038207;12
32;0.035795;12
32;0.048363;12
32;0.050909;12
64;0.036197;12
64;0.037539;12
64;0.036047;12
64;0.049413;12
64;0.048868;12
96;0.036085;12
96;0.040801;12
96;0.037162;12
96;0.048933;12
96;0.048881;12
1;0.120305;12
1;0.124261;12
1;0.124009;12
1;0.124322;12
1;0.124712;12
2;0.066049;12
2;0.067158;12
2;0.070634;12
2;0.070887;12
2;0.069886;12
4;0.047773;12
4;0.056085;12
4;0.049769;12
4;0.058846;12
4;0.061934;12
8;0.038898;12
8;0.040213;12
8;0.040582;12
8;0.054371;12
8;0.052552;12
16;0.041542;12
16;0.041469;12
16;0.040145;12
16;0.053728;12
16;0.053826;12
32;0.038662;12
32;0.038353;12
32;0.037138;12
32;0.05888;12
32;0.053292;12
64;0.037811;12
64;0.037206;12
64;0.037684;12
64;0.047405;12
64;0.051749;12
96;0.038612;12
96;0.037714;12
96;0.037688;12
96;0.045723;12
96;0.052007;12
