n_procs;time(s);mPow_size
1;0.376652;12
1;0.374611;12
1;0.387231;12
1;0.373507;12
1;0.36857;12
2;0.222355;12
2;0.188919;12
2;0.188144;12
2;0.19408;12
2;0.189355;12
4;0.137427;12
4;0.121637;12
4;0.116012;12
4;0.114708;12
4;0.124754;12
8;0.10157;12
8;0.0992831;12
8;0.102994;12
8;0.103263;12
8;0.10822;12
16;0.0842141;12
16;0.0889374;12
16;0.0925838;12
16;0.0945056;12
16;0.089437;12
32;0.0762562;12
32;0.0767077;12
32;0.0766436;12
32;0.0738675;12
32;0.081041;12
64;0.0822882;12
64;0.084069;12
64;0.0832817;12
64;0.138934;12
64;0.0873707;12
