n_threads;time(s);mPow_size
1;1.02185e-05;4
1;1.08555e-05;4
1;1.0483e-05;4
1;1.04867e-05;4
1;1.05835e-05;4
2;2.03103e-05;4
2;1.84551e-05;4
2;1.96397e-05;4
2;2.36221e-05;4
2;2.03624e-05;4
4;2.5332e-05;4
4;2.42554e-05;4
4;2.72319e-05;4
4;2.38009e-05;4
4;2.70121e-05;4
8;2.36779e-05;4
8;2.67401e-05;4
8;2.31154e-05;4
8;2.864e-05;4
8;2.33725e-05;4
16;2.74256e-05;4
16;2.86363e-05;4
16;3.26224e-05;4
16;2.86512e-05;4
16;2.54288e-05;4
32;2.64905e-05;4
32;2.63825e-05;4
32;2.99253e-05;4
32;3.05213e-05;4
32;2.89008e-05;4
64;5.02765e-05;4
64;4.72367e-05;4
64;4.60446e-05;4
64;4.50984e-05;4
64;4.77992e-05;4
1;3.20859e-05;5
1;3.23951e-05;5
1;3.24361e-05;5
1;3.23877e-05;5
1;3.24138e-05;5
2;0.000140116;5
2;5.06379e-05;5
2;5.35175e-05;5
2;5.01946e-05;5
2;4.84027e-05;5
4;7.61487e-05;5
4;6.54981e-05;5
4;6.56322e-05;5
4;6.03423e-05;5
4;5.59799e-05;5
8;5.26942e-05;5
8;5.58943e-05;5
8;6.20931e-05;5
8;4.76241e-05;5
8;5.32717e-05;5
16;4.86523e-05;5
16;4.05349e-05;5
16;4.4208e-05;5
16;5.07981e-05;5
16;4.69759e-05;5
32;4.12874e-05;5
32;3.69661e-05;5
32;4.55342e-05;5
32;4.24087e-05;5
32;4.5184e-05;5
64;5.70007e-05;5
64;4.86746e-05;5
64;4.97252e-05;5
64;5.01089e-05;5
64;4.95724e-05;5
1;0.000129499;6
1;0.000119716;6
1;0.000119634;6
1;9.23499e-05;6
1;0.0001195;6
2;0.000164744;6
2;0.00011659;6
2;0.000115134;6
2;0.000112452;6
2;0.000117164;6
4;0.000181448;6
4;0.000135414;6
4;0.000130635;6
4;0.000127088;6
4;0.000134021;6
8;0.000101674;6
8;9.85116e-05;6
8;0.000127621;6
8;0.000127047;6
8;0.000134949;6
16;9.13925e-05;6
16;0.000101723;6
16;0.000111118;6
16;0.000127688;6
16;0.000120256;6
32;7.74264e-05;6
32;8.5637e-05;6
32;9.11281e-05;6
32;9.24282e-05;6
32;8.26828e-05;6
64;8.47206e-05;6
64;9.26852e-05;6
64;8.7861e-05;6
64;9.21562e-05;6
64;8.71122e-05;6
1;0.00046226;7
1;0.000365168;7
1;0.000462621;7
1;0.000352565;7
1;0.000421397;7
2;0.000280451;7
2;0.000299364;7
2;0.000275578;7
2;0.00027331;7
2;0.000322003;7
4;0.00025652;7
4;0.000238251;7
4;0.000263207;7
4;0.000273012;7
4;0.000248149;7
8;0.000222135;7
8;0.000223655;7
8;0.000251658;7
8;0.000230849;7
8;0.000244144;7
16;0.00012549;7
16;0.000152547;7
16;0.000146903;7
16;0.000144355;7
16;0.000144571;7
32;0.000145376;7
32;0.000151042;7
32;0.000117946;7
32;0.000159197;7
32;0.00012194;7
64;9.4071e-05;7
64;0.00013043;7
64;0.000112653;7
64;0.000122119;7
64;0.000127148;7
1;0.00124424;8
1;0.00142949;8
1;0.00140741;8
1;0.00144313;8
1;0.000954021;8
2;0.000776786;8
2;0.000754442;8
2;0.00106662;8
2;0.000798687;8
2;0.000794325;8
4;0.000782516;8
4;0.000809573;8
4;0.000791408;8
4;0.000785317;8
4;0.000812709;8
8;0.000465106;8
8;0.000423964;8
8;0.000423755;8
8;0.00041556;8
8;0.000441954;8
16;0.00026207;8
16;0.000265811;8
16;0.000275262;8
16;0.000321284;8
16;0.000235971;8
32;0.000226546;8
32;0.000194643;8
32;0.000194263;8
32;0.000192363;8
32;0.000192601;8
64;0.000148218;8
64;0.000135299;8
64;0.000130493;8
64;0.000135731;8
64;0.000137884;8
1;0.00391288;9
1;0.00361421;9
1;0.00407583;9
1;0.00263209;9
1;0.00243697;9
2;0.00494593;9
2;0.00278084;9
2;0.00277584;9
2;0.0025323;9
2;0.00247949;9
4;0.00267615;9
4;0.00277509;9
4;0.00203311;9
4;0.00157317;9
4;0.00155788;9
8;0.00141274;9
8;0.00140492;9
8;0.00140215;9
8;0.000915028;9
8;0.000893511;9
16;0.000760928;9
16;0.000756502;9
16;0.000742104;9
16;0.000704017;9
16;0.000709299;9
32;0.000540346;9
32;0.00051599;9
32;0.000466924;9
32;0.000480246;9
32;0.000446133;9
64;0.000451282;9
64;0.00043318;9
64;0.00040894;9
64;0.000419397;9
64;0.000435796;9
1;0.00973582;10
1;0.0100618;10
1;0.0128868;10
1;0.0097516;10
1;0.0105326;10
2;0.00924019;10
2;0.00863535;10
2;0.00861247;10
2;0.00862904;10
2;0.00863608;10
4;0.00702795;10
4;0.00587949;10
4;0.00478077;10
4;0.00498426;10
4;0.00460972;10
8;0.00445697;10
8;0.00400352;10
8;0.0024802;10
8;0.00249409;10
8;0.00242779;10
16;0.00273831;10
16;0.00276107;10
16;0.00162045;10
16;0.00162344;10
16;0.00141352;10
32;0.00150476;10
32;0.00155335;10
32;0.00154623;10
32;0.000991408;10
32;0.000970323;10
64;0.000988651;10
64;0.00103575;10
64;0.000869673;10
64;0.000876676;10
64;0.00082067;10
1;0.0478941;11
1;0.0471079;11
1;0.0468208;11
1;0.0465415;11
1;0.0468115;11
2;0.0376483;11
2;0.0419802;11
2;0.0494869;11
2;0.0505957;11
2;0.0505743;11
4;0.0218537;11
4;0.0280514;11
4;0.0309274;11
4;0.0305134;11
4;0.0298138;11
8;0.0116383;11
8;0.0111835;11
8;0.0160662;11
8;0.0154799;11
8;0.0155842;11
16;0.00841713;11
16;0.0093802;11
16;0.00999257;11
16;0.00803786;11
16;0.00973851;11
32;0.00633488;11
32;0.00399628;11
32;0.00520129;11
32;0.0042767;11
32;0.00526933;11
64;0.00355574;11
64;0.00252596;11
64;0.00237459;11
64;0.00214297;11
64;0.00335495;11
1;0.273082;12
1;0.25177;12
1;0.24886;12
1;0.246274;12
1;0.24469;12
2;0.165431;12
2;0.181837;12
2;0.185558;12
2;0.183229;12
2;0.183614;12
4;0.0917784;12
4;0.0954162;12
4;0.0957687;12
4;0.0962388;12
4;0.0965373;12
8;0.0501233;12
8;0.0549496;12
8;0.0559927;12
8;0.0565689;12
8;0.0570041;12
16;0.025904;12
16;0.0630649;12
16;0.0342397;12
16;0.0328947;12
16;0.0324673;12
32;0.0140198;12
32;0.0202636;12
32;0.020234;12
32;0.0210092;12
32;0.0218573;12
64;0.00913109;12
64;0.0136629;12
64;0.0134445;12
64;0.0139563;12
64;0.0130265;12
