n_threads;time(s);mPow_size
1;3.43844e-06;4
1;1.0971e-05;4
1;1.074e-05;4
1;1.98707e-05;4
1;1.02967e-05;4
2;2.37897e-05;4
2;1.91256e-05;4
2;2.14428e-05;4
2;2.11708e-05;4
2;2.31452e-05;4
4;2.28509e-05;4
4;2.5671e-05;4
4;2.38977e-05;4
4;2.68072e-05;4
4;2.56784e-05;4
8;2.51159e-05;4
8;2.53879e-05;4
8;2.81036e-05;4
8;2.46689e-05;4
8;2.70195e-05;4
16;2.9061e-05;4
16;2.5399e-05;4
16;2.75373e-05;4
16;2.70829e-05;4
16;2.79993e-05;4
32;3.09907e-05;4
32;2.85916e-05;4
32;2.96421e-05;4
32;2.66843e-05;4
32;2.88673e-05;4
64;5.38863e-05;4
64;4.83505e-05;4
64;6.92308e-05;4
64;4.76129e-05;4
64;5.78165e-05;4
1;3.24287e-05;5
1;3.27937e-05;5
1;3.24249e-05;5
1;3.24287e-05;5
1;3.26149e-05;5
2;0.000137344;5
2;4.57913e-05;5
2;5.55292e-05;5
2;5.44861e-05;5
2;4.62979e-05;5
4;4.7911e-05;5
4;4.99189e-05;5
4;5.34281e-05;5
4;5.86398e-05;5
4;5.9627e-05;5
8;7.03968e-05;5
8;5.57229e-05;5
8;4.60111e-05;5
8;5.36442e-05;5
8;4.768e-05;5
16;4.825e-05;5
16;4.2215e-05;5
16;4.80302e-05;5
16;4.315e-05;5
16;4.69945e-05;5
32;4.2323e-05;5
32;4.17121e-05;5
32;4.36157e-05;5
32;4.42117e-05;5
32;4.40702e-05;5
64;5.18523e-05;5
64;4.99152e-05;5
64;5.41955e-05;5
64;4.69834e-05;5
64;5.78351e-05;5
1;0.00011858;6
1;0.00011922;6
1;9.16719e-05;6
1;0.000107266;6
1;9.1657e-05;6
2;0.000110608;6
2;0.000101708;6
2;0.000105735;6
2;9.30615e-05;6
2;0.000110667;6
4;0.000141706;6
4;0.000129595;6
4;0.000151936;6
4;0.000146907;6
4;0.000128359;6
8;0.00010886;6
8;8.85911e-05;6
8;0.000126291;6
8;9.27635e-05;6
8;8.63262e-05;6
16;9.66936e-05;6
16;8.8755e-05;6
16;0.000114836;6
16;0.000109587;6
16;9.70289e-05;6
32;7.53403e-05;6
32;8.78163e-05;6
32;9.21674e-05;6
32;8.59983e-05;6
32;8.98317e-05;6
64;7.39247e-05;6
64;7.52807e-05;6
64;0.000105325;6
64;8.8796e-05;6
64;8.93585e-05;6
1;0.000256289;7
1;0.000472292;7
1;0.000471596;7
1;0.000206873;7
1;0.000184778;7
2;0.00017212;7
2;0.000181619;7
2;0.000174589;7
2;0.000165306;7
2;0.000290282;7
4;0.000251211;7
4;0.000267405;7
4;0.00025494;7
4;0.000264231;7
